Wall time,Step,Value,Smoothed_Value
1733434796.7884245,265,0.0,0.0
1733436816.1478138,279,0.1000000014901161,0.0018181818452748383
1733437102.3861651,283,0.1000000014901161,0.0035714286246470036
1733437336.4019935,285,0.1000000014901161,0.005263157973164005
1733438354.352013,293,0.0,0.005172413870178419
1733438728.296084,297,0.050000000745058,0.005932203478227226
1733438856.6747136,299,0.050000000745058,0.006666666766007739
1733438879.3050826,300,0.050000000745058,0.007377049290254464
1733439029.650262,303,0.050000000745058,0.008064516249202907
1733439080.791889,304,0.050000000745058,0.008730158860248227
1733439810.6190088,310,0.050000000745058,0.00937500013969838
1733439917.7188776,311,0.050000000745058,0.010000000149011605
1733439959.3465276,312,0.050000000745058,0.010606060764103217
1733440419.4816947,316,0.0,0.010447761349713616
1733440828.7968712,322,0.0,0.010294117800453122
1733441076.7723217,323,0.0,0.010144927687403077
1733441444.826481,328,0.0,0.010000000149011604
1733441749.1976013,332,0.0,0.009859155076490314
1733442140.8167224,337,0.0,0.009722222367094614
1733442935.5708983,343,0.0,0.00958904123877825
1733443022.083052,344,0.0,0.009459459600416381
1733443467.1150963,348,0.0,0.00933333347241083
1733443702.6922393,349,0.0,0.009210526453037004
1733443806.913454,351,0.0,0.009090909226374186
1733444357.0765078,360,0.050000000745058,0.009615384758665005
1733444740.466835,363,0.050000000745058,0.010126582429378838
1733444767.6501431,364,0.050000000745058,0.010625000158324828
1733444903.931522,366,0.050000000745058,0.01111111127667956
1733445258.9558685,369,0.050000000745058,0.01158536602629393
1733445415.829396,372,0.0,0.01144578330308557
1733445600.386546,376,0.0,0.011309523978048837
1733445881.0354722,379,0.0,0.011176470754777674
1733446061.4620168,380,0.0,0.011046511792512816
1733446385.0699587,384,0.0,0.010919540392598877
1733446424.9137688,385,0.0,0.010795454706319344
1733446716.6475043,388,0.0,0.010674157462428115
1733446795.765383,389,0.0,0.01055555571284558
1733447553.737556,394,0.0,0.010439560595122003
1733448301.5418649,398,0.0,0.010326087110392415
1733448313.3716462,399,0.0,0.010215053915657014
1733448423.851697,401,0.0,0.010106383129320237
1733448480.19483,402,0.0,0.010000000149011602
1733448673.7308495,404,0.0,0.009895833480792732
1733449121.9825487,411,0.1000000014901161,0.010824742429342457
1733449190.3328066,412,0.1000000014901161,0.011734694052411577
1733449414.6387274,415,0.1000000014901161,0.012626262814408592
1733449798.3395593,421,0.1000000014901161,0.013500000201165667
1733450045.5398626,424,0.1000000014901161,0.01435643585749191
1733450275.3223395,427,0.1000000014901161,0.015196078657811755
1733450995.310502,433,0.0,0.015048543913561155
1733451209.0057633,435,0.0,0.014903846375930759
1733451321.7692137,436,0.0,0.014761904981874276
1733451791.4685922,441,0.050000000745058,0.015094339847564689
1733451967.1703036,443,0.050000000745058,0.015420560977447803
1733452186.0004828,445,0.050000000745058,0.015740740975296045
1733452810.9723997,451,0.1000000014901161,0.01651376171396412
1733452923.5846536,453,0.1000000014901161,0.017272727530110957
1733453208.165985,455,0.1000000014901161,0.018018018286507398
1733454083.4846933,464,0.050000000745058,0.018303571701315885
1733454234.481542,465,0.050000000745058,0.0185840710733844
1733455004.7510452,472,0.0,0.01842105290607401
1733455384.0033245,478,0.0,0.01826086983732554
1733455493.0302832,480,0.0,0.01810344854562446
1733455774.413473,484,0.0,0.017948718216174678
1733456700.650602,489,0.0,0.01779661043468167
1733456877.2580729,491,0.0,0.017647059086491067
1733457272.3453796,496,0.0,0.01750000026077031
1733458130.7290962,504,0.050000000745058,0.017768595306095
1733458289.496857,506,0.1000000014901161,0.018442623225636157
1733458462.974439,509,0.1000000014901161,0.019105691341607542
1733459220.632576,518,0.1500000059604644,0.020161290653049935
1733459551.2498734,521,0.1500000059604644,0.021200000375509252
1733460542.2337315,530,0.1000000014901161,0.021825397209752163
1733461095.95762,538,0.050000000745058,0.0220472444816837
1733462189.9216976,548,0.050000000745058,0.022265625389991314
1733462470.6697528,549,0.050000000745058,0.02248062054778253
1733463589.223863,557,0.1000000014901161,0.023076923478108174
1733463854.51468,563,0.1000000014901161,0.023664122546902127
1733463993.47457,567,0.050000000745058,0.023863636775676034
1733464956.814424,578,0.050000000745058,0.024060150790483417
1733465477.5258238,586,0.050000000745058,0.024253731760293676
