Wall time,Step,Value,Smoothed_Value
1733410744.3908455,9,0.3333333432674408,0.3333333432674408
1733410789.9833715,11,0.3636363744735718,0.3484848588705063
1733410891.7195327,16,0.375,0.3573232392470042
1733410947.021445,17,0.3529411852359772,0.35622772574424744
1733410994.946004,18,0.3333333432674408,0.3516488492488861
1733413472.069942,37,0.2000000029802322,0.3263740415374438
1733414073.8121765,44,0.1500000059604644,0.30117775074073244
1733414113.777666,45,0.1000000014901161,0.2760305320844054
1733414324.620289,46,0.1000000014901161,0.2564715842405955
1733414534.50976,48,0.1500000059604644,0.2458244264125824
1733414597.1819112,49,0.2000000029802322,0.24165856973691416
1733414894.1567192,52,0.3499999940395355,0.25068702176213264
1733415251.5867903,55,0.4000000059604645,0.2621726359312351
1733415880.8672218,58,0.5,0.27916030479328974
1733417375.2378614,70,0.8500000238418579,0.3172162860631943
1733417926.9514089,76,0.8500000238418579,0.35051526967436075
1733418462.297676,85,0.800000011920929,0.3769555486300412
1733419512.3180554,93,0.8500000238418579,0.4032357972529199
1733419638.352934,95,0.8500000238418579,0.4267497039154956
1733420220.12932,105,0.8999999761581421,0.45041221752762794
1733420455.0312352,109,0.949999988079071,0.47420211136341095
1733420590.516229,114,0.8999999761581421,0.4935565597631715
1733421519.8711126,126,0.75,0.5047062745560771
1733422040.5097194,130,0.6000000238418579,0.5086768474429846
1733422060.507956,131,0.6000000238418579,0.5123297744989395
1733422351.0235422,138,0.75,0.5214709370182111
1733422401.875453,140,0.75,0.529934976387907
1733422534.240504,144,0.75,0.5377944415169102
1733422748.7246118,146,0.75,0.5451118745680513
1733423626.7656715,152,0.800000011920929,0.5536081458131472
1733423648.3680973,153,0.75,0.5599433669159489
1733423812.54314,154,0.75,0.5658826366998255
1733424159.8333642,157,0.699999988079071,0.569946798862833
1733424392.6778042,161,0.75,0.5752424812492203
1733425195.9492736,172,0.800000011920929,0.5816641249826976
1733426247.0434074,183,0.6499999761581421,0.5835623430709044
1733427770.304931,194,0.699999988079071,0.5867093064495035
1733427799.778629,195,0.75,0.5910064299639902
1733427870.0413122,196,0.75,0.5950831881700418
1733427910.110166,197,0.75,0.5989561084657907
1733428304.0475245,202,0.8999999761581421,0.6062986418241407
1733429339.2783496,209,0.800000011920929,0.6109105792073977
1733430144.480022,219,0.6000000238418579,0.6106568453616874
1733430282.297088,221,0.6000000238418579,0.6104146448726003
1733430798.551527,225,0.550000011920929,0.6090720974736743
1733431137.8648677,227,0.6000000238418579,0.6088748784816783
